PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed
42,2026/3/23,1,3,宮城,Left,3,Left,0,1,1,Curveball,BallCalled,,,95
43,2026/3/23,1,4,宮城,Left,3,Left,0,2,1,Splitter,InPlay,Out,GroundBall,133
44,2026/3/23,2,1,宮城,Left,4,Left,1,0,0,Fastball,StrikeCalled,,,
45,2026/3/23,2,2,宮城,Left,4,Left,1,0,1,Cutter,StrikeSwinging,,,127
46,2026/3/23,2,3,宮城,Left,4,Left,1,0,2,Cutter,InPlay,Out,GroundBall,127
47,2026/3/23,3,1,宮城,Left,5,Right,2,0,0,Curveball,BallCalled,,,113
48,2026/3/23,3,2,宮城,Left,5,Right,2,1,0,Slider,BallCalled,,,116
49,2026/3/23,3,3,宮城,Left,5,Right,2,2,0,Slider,StrikeCalled,,,
50,2026/3/23,3,4,宮城,Left,5,Right,2,2,1,Splitter,BallCalled,,,130
51,2026/3/23,3,5,宮城,Left,5,Right,2,3,1,Fastball,StrikeCalled,,,
52,2026/3/23,3,6,宮城,Left,5,Right,2,3,2,Fastball,BallCalled,Walk,,142
53,2026/3/23,4,1,宮城,Left,6,Left,2,0,0,Cutter,StrikeSwinging,,,125
54,2026/3/23,4,2,宮城,Left,6,Left,2,0,1,Cutter,StrikeSwinging,,,128
55,2026/3/23,4,3,宮城,Left,6,Left,2,0,2,Slider,BallCalled,,,130
56,2026/3/23,4,4,宮城,Left,6,Left,2,1,2,Slider,InPlay,Double,FlyBall,123
57,2026/3/23,5,1,宮城,Left,7,Right,2,0,0,Cutter,FoulBallFieldable,,,125
58,2026/3/23,5,2,宮城,Left,7,Right,2,0,1,Splitter,BallCalled,,,130
59,2026/3/23,5,3,宮城,Left,7,Right,2,1,1,Fastball,BallCalled,,,142
60,2026/3/23,5,4,宮城,Left,7,Right,2,2,1,Cutter,InPlay,Out,GroundBall,129
61,2026/3/23,1,1,宮城,Left,8,Left,0,0,0,Fastball,BallCalled,,,137
62,2026/3/23,1,2,宮城,Left,8,Left,0,1,0,Fastball,InPlay,Out,GroundBall,
63,2026/3/23,2,1,宮城,Left,9,Left,1,0,0,Slider,BallCalled,,,125
