PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed,Runner
8,2026/2/11,2,2,安田,Right,"Yuasa, Ousuke",Right,1,0,1,Fastball,BallCalled,,,136,
9,2026/2/11,2,3,安田,Right,"Yuasa, Ousuke",Right,1,1,1,Slider,StrikeCalled,,,132,
10,2026/2/11,2,4,安田,Right,"Yuasa, Ousuke",Right,1,1,2,Slider,InPlay,Out,GroundBall,114,
11,2026/2/11,3,1,安田,Right,"Nakamura, Shunei",Left,2,0,0,Fastball,StrikeCalled,,,137,
12,2026/2/11,3,2,安田,Right,"Nakamura, Shunei",Left,2,0,1,ChangeUp,StrikeSwinging,,,91,
13,2026/2/11,3,3,安田,Right,"Nakamura, Shunei",Left,2,0,2,Fastball,StrikeSwinging,Strikeout,,,
14,2026/2/11,1,1,安田,Right,"Sato, Kanya",Left,0,0,0,ChangeUp,BallCalled,,,92,
15,2026/2/11,1,2,安田,Right,"Sato, Kanya",Left,0,1,0,Fastball,StrikeSwinging,,,135,
16,2026/2/11,1,3,安田,Right,"Sato, Kanya",Left,0,1,1,ChangeUp,BallCalled,,,110,
17,2026/2/11,1,4,安田,Right,"Sato, Kanya",Left,0,2,1,Slider,FoulBallFieldable,,,133,
18,2026/2/11,1,5,安田,Right,"Sato, Kanya",Left,0,2,2,ChangeUp,BallCalled,,,111,
19,2026/2/11,1,6,安田,Right,"Sato, Kanya",Left,0,3,2,ChangeUp,InPlay,Out,GroundBall,123,
20,2026/2/11,2,1,安田,Right,"Nagata, Hyuga",Right,1,0,0,Slider,BallCalled,,,133,
21,2026/2/11,2,2,安田,Right,"Nagata, Hyuga",Right,1,1,0,ChangeUp,BallCalled,,,115,
22,2026/2/11,2,3,安田,Right,"Nagata, Hyuga",Right,1,2,0,Fastball,StrikeCalled,,,134,
23,2026/2/11,2,4,安田,Right,"Nagata, Hyuga",Right,1,2,1,Fastball,InPlay,Out,GroundBall,131,
24,2026/2/11,3,1,安田,Right,"Sakaguchi, Yuta",Right,2,0,0,Slider,BallCalled,,,114,
25,2026/2/11,3,2,安田,Right,"Sakaguchi, Yuta",Right,2,1,0,Fastball,FoulBallFieldable,,,133,
